Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1/1/2014,0.421440919,4.673996035,7.280387304,1.625865044,,2.772885257,2.346268657,,2.981308689,,1.089441574,2.487922705,1.605804145,1.389726358,4.405352342,0.340002833,,-0.258089518,6.991638892,-1.418183803,2.646291465,1.183177822,-0.897194054,18.11955435,,,5.766600746,6.329040155,1.769503221,-0.207108732,8.271060939,4.402253092,,1.906635907,0.053821313,-0.01322916,,4.718675279,1.921643416,0.448682077,1.854898504,0.912139545,2.897818744,,-0.238778145,4.519380809,1.136309698,,1.498739696,1.273979115,-1.354988854,0.34398859,0.906797949,1.341864943,0.799250373,0.56402054,2.998642261,2.916926921,3.142990509,4.129243069,2.510876333,2.981308689,0.592255589,3.589220166,10.07021547,0.24104743,,-0.150870313,-0.106175147,6.890019516,0.199343827,1.854898504,1.041196212,0.519306475,0.507758823,,0.650284892,4.690457518,1.451120163,3.068812104,15.48961603,,6.150869388,5.947999357,-1.509244606,4.309998661,-1.311210501,-0.983603056,,3.418361697,,0.852630498,1.033172121,4.438502674,6.129249303,3.969860452,-0.21519616,3.4381666,-0.227566271,3.418361697,3.534368561,3.694803557,1.383519025,6.394925408,4.267297705,,6.353194544,,0.182542317,16.60655324,2.235974079,2.044614815,0.485030942,0.24104743,8.290005777,2.89947905,2.761954083,6.706578291,6.878154993,7.534247298,3.855238553,2.103985209,0.247865392,1.274714702,2.908926729,3.478322391,4.129243069,1.854604213,9.861112856,,3.518478182,3.314187885,4.405352342,4.405352342,,3.179002282,5.165902379,3.561794364,5.37028961,2.044614815,0.103758009,0.628543985,0.620490637,6.045271806,,0.442310054,,5.088785546,6.080408111,,2.346268657,4.018616081,,3.534368561,-0.281705033,0.883814547,0.310306472,4.953299185,2.89947905,-0.710514052,12.25398081,,2.559748758,3.534368561,3.21769192,23.79206495,3.142990509,1.764429442,5.349526128,0.178851061,-0.93028726,8.062485824,6.035968618,0.97603508,2.041702867,8.364154697,,1.227507506,0.592255589,1.022343145,2.34545314,7.189384028,2.626526999,3.244963042,3.597823439,4.191745486,5.222117202,0.053821313,3.304523084,,,-0.278153367,5.028827675,1.7329851,1.451424524,0.906797949,,3.349720857,1.068309877,7.823411839,2.328308208,6.991638892,2.236290315,36.90664279,-1.090255074,1.02514803,5.165902379,4.645462047,1.141344675,1.112963034,,2.082447939,4.403802717,1.655223598,4.402253092,1.577668883,6.99849944,3.383412727,-0.07616533,0.199343827,-0.179638494,5.680229928,1.886754663,1.385834546,,,1.681973139,3.370406974,2.082447939,0.190875076,1.895141819,6.104427651,,3.478322391,0.726275016,2.908202985,2.510876333,6.991638892,4.402253092,5.684418146,4.625550995,8.854572714,,6.13161433,3.074677606,12.07185629,3.033727183,8.877353332,1.622222977,,0.193858561,62.16864998,,,4.084554466,0.798863838,2.337288432,-0.406816088,0.428957808,8.104725836,6.136020151,7.806875536,-0.212939905
1/1/2015,0.474763597,-0.661709165,-21.53169352,1.896174026,,1.814077239,4.069966084,,3.731691193,,0.968993459,1.508366722,0.896565316,4.009438267,5.544688913,0.561429153,,0.724838981,6.19428023,-0.104633261,1.839519875,1.878438324,-1.036023034,13.53448976,,,4.059610411,9.029901024,-1.112789925,-0.488347421,4.548143951,3.062031696,,1.125241361,-0.464499005,-1.143900644,,4.348773532,1.437024514,1.251499548,2.676235314,3.169097968,4.990234275,,0.131187999,0.801946649,-0.679637508,,-0.47654205,-2.347527702,-2.096997691,0.309364548,0.51442054,-0.847389734,-0.843826985,0.452034154,0.836746347,4.784447007,1.221270061,3.09551722,0.78951789,4.003578207,0.338705695,3.966646233,10.37049034,0.037514381,,-0.500461321,-0.492326007,9.56889956,-0.06164468,1.450690576,-0.20792884,1.374885426,0.037514381,,-0.298115837,-0.338795189,0.368046842,4.003578207,17.1499695,,11.78235746,6.808454946,,1.676630853,-1.736036796,-0.515448031,,2.388720328,,-1.001734328,0.349037004,2.995391705,3.15783118,4.059610411,-0.464499005,6.731840697,-0.06164468,3.062031696,3.15783118,3.193771552,1.952106799,6.363121131,3.77406982,,5.872426595,,-0.289879079,12.48468156,1.393330288,1.633055582,-0.632490013,0.0387904,3.675887919,-0.87685136,0.78951789,6.665776115,6.582174403,6.50331839,1.221270061,0.572015744,-2.30187563,0.70620817,3.271701661,3.143416962,1.277354271,-3.749145248,7.748696876,,-0.984309204,2.133579326,4.377126651,5.58816953,,3.768367831,3.218445137,3.163464574,3.218445137,1.557907113,-0.884097406,0.474743161,0.174242244,4.559202881,,1.557907113,,9.676240331,7.404191742,,1.494759286,2.72064065,,2.676235314,-0.299920476,1.450690576,1.100548264,9.454171895,1.494759286,1.548691582,5.726872247,,3.550759674,3.237703083,1.286549708,21.86734755,2.104389802,0.621934248,3.395660655,0.570508141,-0.57609037,9.009387183,3.997379967,0.600248147,2.171136654,7.868908956,,0.292704628,0.301034588,0.065290133,1.633055582,2.529328173,0.137492058,3.549288049,0.674192537,0.949040644,5.995957781,-0.874125874,3.550759674,,,0.487938624,3.129002745,1.431611458,0.648242939,0.368046842,,1.814077239,-0.594156437,15.53440505,2.529055492,4.548143951,1.206073222,16.90945571,0.135211934,-0.522618167,-0.574469286,6.693679279,-0.731384487,0.145686073,,1.39235822,3.550759674,52.81465207,3.79635189,0.968993459,5.250170864,6.893903592,-0.325219777,-0.525552286,-0.046784745,4.952356149,0.330027165,4.041944107,,,4.377126651,1.085155352,3.731691193,2.585003908,-0.900424963,5.714559496,,3.143416962,0.552796026,1.557907113,-1.05399832,4.548143951,3.79635189,4.661215981,4.437371273,7.670853648,,5.58816953,5.410004196,48.69986464,1.78640244,8.666269871,0.118627136,,-1.73361195,121.7380853,,,0.631200905,2.483268757,1.434317986,0.724470135,-0.536929393,,4.509208278,10.11059289,-2.409499988
1/1/2016,-0.931195987,4.383891955,32.37773407,1.275431684,,2.068840361,1.617488089,,-1.403607559,,-0.489437796,1.276990945,0.891592367,12.44949552,5.557689614,1.973852647,,0.441041448,5.513525727,-0.79874909,2.800594698,-0.330038396,-1.5841,11.83658077,,,3.623214318,8.739143523,1.281928131,-0.278693266,3.219886894,2.814957914,,1.428759547,-0.054999542,-0.434607639,,3.786193559,2,0.723178458,0.874190383,3.190561797,7.514293228,,-1.407816371,-0.017551757,0.488912144,,-0.047207985,-0.625258359,-1.429166667,0.683504209,0.491748625,2.738412087,0.141816226,0.25,1.614166072,6.397694803,1.798457463,3.371530035,1.265344873,1.275431684,0.372761399,1.728264633,13.81360621,0.183334861,,-0.202671741,0.148684908,6.628133372,0.183334861,2.269870148,0.356684501,3.863225382,0.183334861,,-1.037468064,2.106707128,1.008417368,2.134927139,17.45463471,,8.172116963,7.228792721,,1.411939155,-0.825651782,1.650389944,,4.448441999,,0.836008062,0.443258966,2.411135968,2.724612233,5.174766293,-1.125,11.50290739,0.394769307,2.351450967,2.821707847,3.205224346,1.262290164,3.525805157,3.953532566,,4.941026458,,0.008306338,7.24542549,0.556521397,1.69692762,-0.54438861,-0.094016657,2.351450967,-0.778430463,-0.116666667,14.54602379,6.297157525,0.388838297,3.04541464,,-0.687037123,0.971674764,3.198397767,2.77316004,1.596914927,-0.783359624,8.834248683,,-3.092989589,1.689327289,5.479642255,6.044560283,,3.958888466,3.205224346,2.965632857,6.596504907,1.109208058,0.905525075,0.290833333,0.140633335,2.370161348,,1.635311143,,6.35930898,6.044560283,0.502509414,1.852075752,2.821707847,,2.578155152,-0.239290788,-1.799647071,0.642702772,6.928825258,2.186861615,-0.271385023,0.742300726,,17.41804182,1.48600677,0.977675135,21.71111321,2.090566595,1.345171376,6.727795407,0.578317436,1.653889224,15.67534055,3.523173176,0.316666667,3.55,8.79034332,,0.646240284,0.443258966,1.109208058,1.554433387,3.765119164,0.739734025,3.592113241,1.253698801,-1.042305334,6.673728814,-0.664767331,5.174766293,,,0.607397075,4.086822806,-0.219106605,0.842069084,0.607397075,,2.676591701,-1.544796668,7.04244763,7.18448152,4.171390211,2.068840361,17.75036955,0.837284943,-0.53226874,0.512485626,10.88328586,0.604049087,0.57394802,,1.122313974,5.557689614,379.8480206,5.501724199,0.977675135,5.432710958,55.41238798,-0.520010196,-0.054999542,0.984269245,7.847274591,0.111682656,-1.015481917,,,-0.792440525,1.596914927,1.122313974,1.285448471,0.188149704,6.004580823,,2.77316004,-1.338538762,2.738412087,2.578155152,4.171390211,5.501724199,3.070667425,3.629399374,7.775134153,,5.174766293,5.445758784,13.9127102,2,9.639413476,1.261583206,,-0.149641648,254.9485348,,,2.66824817,0.842069084,1.541460848,1.304718693,0.273169431,,6.594604415,17.86973008,-1.566412967
1/1/2017,-1.028281788,4.975951506,31.69168614,1.986661332,,1.966825578,1.966825578,,0.969553269,,2.43248789,1.948647409,2.081268583,12.93998411,16.0525353,2.12597086,,1.482998972,5.702070157,2.064355063,1.38734376,1.499926233,0.810133322,6.031837252,,,2.822758055,3.44637335,4.66018464,-1.260505646,4.95508367,3.308280768,,1.596884129,2.075935537,0.533795988,,2.182718469,1.593137255,0.685881065,0.64040915,0.450063823,4.312141032,,0.784415251,1.625707485,1.892520278,,1.585588017,,0.531766496,2.450533985,1.509496558,0.568112117,0.296252889,1.14713217,3.279556947,5.59111591,2.987725468,3.463185945,1.850787675,3.153186175,1.875100596,0.417335589,29.50660839,1.381458714,,1.956083333,3.417235495,10.68711503,1.429107433,2.278115309,0.754015047,3.347578348,1.032282751,,0.522623903,2.651925831,2.557755776,6.035317253,12.37192155,,8.91452597,8.034189745,,0.745599218,1.121235477,0.908458256,,4.424536552,,1.904656155,1.547542288,1.480582524,3.934360844,5.479823987,1.129372103,10.68008872,2.348242812,3.293918857,3.396975849,3.892516254,1.531534889,3.80879807,4.510117963,,2.490886999,,0.340531561,8.044924377,0.184058899,1.760415592,0.244210526,1.226533166,4.375785137,3.323894476,0.467211747,7.440004373,8.005722791,3.175309864,2.890924692,,0.694916712,1.944455907,2.171832985,3.279556947,0.825500218,4.321352183,12.41963239,,0.118417726,2.312249,5.318716052,8.274372533,,7.704137679,3.664527479,3.627096107,4.447699374,2.177275727,3.722888623,1.730799591,2.930363124,1.22655456,,0.754663249,,6.570229975,8.590061197,2.817473382,1.492252182,6.04145724,,3.316087622,1.351618897,1.759857429,1.364354482,4.572536553,3.822623329,2.380235991,4.310762541,,15.11320739,2.275034573,3.666997027,11.54339392,3.871201158,1.863497066,6.143923662,,2.796373189,16.52353998,3.850671663,1.381458714,1.875100596,3.627096107,,1.850787675,1.822643361,1.597160603,2.516080911,4.08537368,0.875585919,2.80283917,2.853187726,1.280462619,5.42204568,2.075935537,5.479823987,,,1.368614116,3.602477413,0.212570934,1.749896775,1.730799591,,0.394878914,1.339021211,3.683329444,8.274372533,4.520228675,-0.83819458,32.3516261,1.318153148,0.57626031,0.48868676,18.2198092,1.012354033,1.045976835,,3.131062486,5.668010354,187.8516257,5.640931922,1.904656155,5.695088786,21.99694302,1.311945882,1.429107433,1.794499047,6.221496227,2.19201011,2.856795756,,,-1.53709963,2.890924692,2.755649238,-0.981889869,0.665631893,,,2.80283917,0.557215537,4.321352183,7.442245466,4.520228675,5.640931922,1.880384402,5.308848396,11.14431108,,5.318716052,5.640931922,14.43832275,3.293918857,6.218093826,2.130110004,,2.153336488,,,,3.520256888,3.084526244,2.275034573,1.749896775,1.488234306,,5.181082233,6.577311542,0.90973329
1/1/2018,3.626041414,,20.19037379,2.028059631,,2.753528204,3.068633793,34.27722371,2.52023382,,1.207157934,1.911400944,1.998381877,2.263516857,-2.814698077,2.053164999,,1.955943027,5.543621395,2.811868406,2.084812496,2.267515101,1.41710814,4.872302206,,,2.272059872,3.664850284,3.673814104,1.025051793,2.723963862,3.238015589,,2.268225672,2.534454242,0.936313303,,2.434889814,2.074788902,0.439062777,1.068858113,1.152778964,3.240234138,,1.256995667,2.221215313,1.282842884,,2.583687566,,1.435491195,2.149494949,1.732167661,0.14797085,0.989191119,0.813609467,3.56443426,4.269990205,3.329910633,4.129311137,2.432841176,2.613230593,2.013220754,-0.224103246,14.40146578,1.703497947,,1.675067615,3.436326884,13.83303566,1.73860862,3.214539255,1.083820984,4.081476376,1.850815083,,,4.749066521,2.292839903,2.615244714,9.836992686,,9.826001808,6.520968239,0.381324703,1.349884388,0.625629147,0.804102313,,3.751861867,,1.282842884,1.812951565,2.407717452,4.347349378,3.702896444,1.50012501,12.48141112,2.850247926,3.216053831,3.216053831,3.255194839,2.63647201,3.198346416,3.494458489,,4.860699467,,0.488370168,18.01411834,0.367441489,2.682917683,0.814852151,1.137487636,3.740158366,4.462311085,0.97990367,6.019130966,4.689819761,1.542661452,2.4579649,,-1.037122141,1.475862404,0.543133148,3.240234138,2.039874055,6.076989079,23.5635149,,1.938462444,2.434889814,3.702896444,3.986248894,,2.135037737,4.347349378,3.350854494,4.751803016,2.474463471,2.697927792,1.528195243,2.534454242,3.005221006,,1.912959405,,3.045053973,8.597958238,-0.133373386,2.084812496,4.899350154,,3.22703471,1.458312985,0.299546507,1.157823625,6.872328657,4.462311085,2.611216472,6.812435942,,3.9113344,3.048914829,3.216053831,12.42017811,0.884709161,2.355404485,4.288574989,,2.96760366,12.09473155,4.94723728,1.703497947,2.764831345,4.061163388,,1.598297038,1.881108014,0.881302104,2.659694846,5.078057259,0.761578359,1.317647659,5.211604606,,4.720849926,1.812951565,3.048914829,,,0.993715683,3.975610157,,,1.73860862,,0.255815383,4.625484431,2.878297236,-0.309533636,4.061163388,2.45814158,63.29250735,0.460985642,0.438620118,3.46147485,16.03278985,1.090330006,,,1.959840763,4.274621986,,4.092978193,2.330963796,7.857064313,,2.514037129,1.73860862,1.953535301,4.814942338,,3.702918391,,,4.274621986,3.329910633,2.565725146,0.927755426,1.063897542,,,2.324144854,2.63647201,4.462311085,,4.061163388,4.092978193,1.018569302,7.30759176,16.3324639,,3.494458489,2.623975052,10.95185594,2.811868406,7.606533604,2.442583297,,2.324144854,,,,3.539628059,2.330963796,2.514037129,4.197458887,1.053797737,,4.504577493,7.494571927,
1/1/2019,4.257462043,,17.14531994,1.41109079,,1.336015681,-1.931081148,53.54830435,1.443446608,,,1.610767873,1.530895534,2.608339565,-0.686772171,1.43681957,,-3.23338934,5.591996399,3.103729448,,,0.562782154,5.59815595,,,1.83954505,3.732976212,4.100289645,-0.390522069,2.725821043,2.772864429,,1.949269024,2.664561334,0.362916005,,2.557544757,2.899235799,-0.88393011,2.452802141,2.206073058,3.525492736,,1.106666565,2.096202566,,,2.622207834,,0.250370997,2.847875959,1.445667015,3.319253727,,0.758131573,1.81060377,1.951768211,2.762520194,2.772864429,1.703978632,3.103729448,1.784150974,0.266012515,,1.445667015,,0.699536242,2.277259312,15.80963217,1.630522608,,1.02409393,1.773101825,1.108254923,,,2.464567562,1.738104601,4.852898217,,,9.470779373,7.115676256,0.246600268,1.238698602,0.252978044,,,3.69998398,,2.087230892,1.610767873,2.864927988,4.365871598,2.616954226,0.771820346,,3.338586354,2.764980852,2.77698537,2.825100281,3.637899003,3.03058665,2.781106312,,7.659694743,,0.939044481,39.90734557,,3.013971792,0.841596534,0.611246944,3.909646229,0.761514047,0.476973684,5.245476796,,1.133622577,,,,0.382946132,1.091848027,3.141295006,3.322813937,3.005389494,,,,3.141295006,3.321033832,3.111218622,,3.528393582,3.174920188,2.795823675,5.187083592,2.277259312,2.33450938,1.743320757,2.811409201,,,0.196065521,,4.837783514,5.62530574,0.220029731,1.091848027,3.635961421,,2.772864429,0.766439573,-1.658266948,1.642060018,,2.478578852,,7.304815975,,2.781106312,2.300092621,0.40565519,9.370836056,0.662891866,1.88073955,3.726975116,,-2.489792651,11.39679497,5.376289908,2.633699102,2.167730033,5.568685478,,1.619631902,1.684313604,0.133795057,1.8061116,10.57835938,-0.355083821,2.137153426,2.480278587,,3.637899003,2.227478809,2.452802141,,,0.33817841,2.757097276,1.580183336,,1.619631902,,-0.666641125,3.827854326,4.470366608,3.353342993,5.568685478,-2.093333333,50.9940515,1.758565176,0.565260569,1.63485544,14.80305857,0.075324135,,,1.849229845,2.77698537,,2.772864429,1.946671246,,,2.664561334,1.630522608,1.784150974,,,1.8061116,,,-0.971939175,2.762520194,2.675992026,0.67465277,0.706728601,,,2.757097276,,3.005389494,,5.568685478,2.772864429,,6.720075329,15.17682157,,3.46428058,2.86909425,7.886717456,2.675992026,7.881988709,1.812210075,,,,,,2.795823675,2.762520194,2.252369061,0.98232657,2.675992026,,4.124350725,9.150316443,
